reference,decision_date,entry_date,organisation_entity,categories,matched_terms,description,source_entity_url,source_dataset,licence,attribution
23/00002/FUL,2023-05-09,2025-05-30,109,solar,PV,"Erection of a single storey extension with flat roof to rear and single storey infill extension to front of dwelling, PV installation to pitched roof and new access and parking (part-retrospective)",https://www.planning.data.gov.uk/entity/10000000000,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00141/FUL,2023-03-30,2025-05-30,109,solar,PV,"Erection of single storey front and rear extensions, replacement of the roof structure, incorporating a loft conversion and an increase in roof height to the dwelling house with the installation of a rear elevation flat roof dormer window, Velux roof lights to the front and both side elevations and PV panels to one side elevation.",https://www.planning.data.gov.uk/entity/10000000070,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00145/PRIOR,2023-04-03,2025-05-30,109,solar,solar,Installation Of Roof Mounted Solar PV Panels,https://www.planning.data.gov.uk/entity/10000000073,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00148/FUL,2023-03-06,2025-05-30,109,ev_charging,electric vehicle,Relocation of existing disabled parking space and installation of two rapid electric vehicle charging stations and associated parking spaces,https://www.planning.data.gov.uk/entity/10000000075,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00154/FULM,2023-06-16,2025-05-30,109,solar;battery_storage,photovoltaic;battery,"Variation of Condition 2 (approved drawings) to Application16/01597/FULM granted on 02/11/2016 (amendments include addition of office area with windows in phase 2, reposition of pump house and sprinkler tanks, addition of photovoltaic (PVP panels on roof with associated battery storage positioned adjacent to sprinkler tanks and condenser unit positions indicated)",https://www.planning.data.gov.uk/entity/10000000078,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00160/FUL,2023-03-14,2025-05-30,109,grid_energy,substation,Erection of new electricity substation,https://www.planning.data.gov.uk/entity/10000000081,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00255/FULM,2024-04-02,2025-06-21,109,ev_charging,EV charging,Application to remove Condition 9 (EV Charging) of Planning Permission 16/03186/REMM granted on 20.12.2022.,https://www.planning.data.gov.uk/entity/10000000118,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00429/FUL,2023-05-25,2025-05-30,109,solar,solar,Erection of outbuilding with solar panels to front elevation following demolition of existing outbuilding,https://www.planning.data.gov.uk/entity/10000000189,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00430/FUL,2023-04-14,2025-05-30,109,ev_charging,electric vehicle,Installation of two rapid electric vehicle charging stations within two existing parking bays and associated equipment.,https://www.planning.data.gov.uk/entity/10000000190,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00433/FUL,2023-04-13,2025-05-30,109,ev_charging,electric vehicle,Installation of two rapid electric vehicle charging stations within two existing parking bays and associated equipment,https://www.planning.data.gov.uk/entity/10000000192,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00448/FUL,2023-04-25,2025-05-30,109,solar,solar,Section 73 Application to vary condition 2 of planning application 21/03427/FUL - to include solar panels on the roof and associated roof form alterations and to update the access as approved under permission 22/02333/FUL,https://www.planning.data.gov.uk/entity/10000000197,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00491/LBC,2023-05-25,2025-05-30,109,solar,solar,Listed building consent for erection of outbuilding with solar panels to front elevation following demolition of existing outbuilding,https://www.planning.data.gov.uk/entity/10000000223,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00510/FUL,2023-06-29,2025-05-30,109,ev_charging,EV charging,"Internal alterations to existing dwelling to include provision of accommodation above existing garage, replacement of windows and doors to dwelling and EV charging point to the side of the existing dwelling",https://www.planning.data.gov.uk/entity/10000000234,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00511/LBC,2023-06-29,2025-05-30,109,ev_charging,EV charging,"Internal alterations to existing dwelling to include provision of accommodation above existing garage, replacement of windows and doors to dwelling and EV charging point to the side of the existing dwelling",https://www.planning.data.gov.uk/entity/10000000235,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
23/00687/FUL,2023-06-19,2025-05-30,109,solar,PV,"Erection of side entrance porch and front extension link to garage, window alterations and application of render to the existing property plus installation of PV panels, log burner and chimney.",https://www.planning.data.gov.uk/entity/10000000322,planning-application,Open Government Licence v3.0,© Crown copyright and database right 2026
